,Ticker,Name,Währung,Börse,Sektor,Branche
317,DGX,Quest Diagnostics Incorporated,USD,NYQ,Healthcare,Diagnostics & Research
318,DHI,"D.R. Horton, Inc.",USD,NYQ,Consumer Cyclical,Residential Construction
319,DHR,Danaher Corporation,USD,NYQ,Healthcare,Diagnostics & Research
320,DI,PIMCO Diversified Income Active ETF,USD,YHD,N/A,N/A
321,DIGI,"digitiliti, Inc.",USD,OEM,Communication Services,Publishing
322,DIS,The Walt Disney Company,USD,NYQ,Communication Services,Entertainment
323,DISCA,N/A,N/A,N/A,N/A,N/A
324,DISCK,N/A,N/A,N/A,N/A,N/A
325,DISH,N/A,N/A,N/A,N/A,N/A
326,DJ,N/A,N/A,YHD,N/A,N/A
327,DLR,"Digital Realty Trust, Inc.",USD,NYQ,Real Estate,REIT - Specialty
328,DLTR,"Dollar Tree, Inc.",USD,NMS,Consumer Defensive,Discount Stores
329,DLX,Deluxe Corporation,USD,NYQ,Industrials,Conglomerates
330,DNB,"Dun & Bradstreet Holdings, Inc.",USD,NYQ,Financial Services,Financial Data & Stock Exchanges
331,DNR,N/A,N/A,N/A,N/A,N/A
332,DO,N/A,N/A,N/A,N/A,N/A
333,DOC,"Healthpeak Properties, Inc.",USD,NYQ,Real Estate,REIT - Healthcare Facilities
334,DOV,Dover Corporation,USD,NYQ,Industrials,Specialty Industrial Machinery
335,DOW,Dow Inc.,USD,NYQ,Basic Materials,Chemicals
336,DPHIQ,N/A,N/A,N/A,N/A,N/A
337,DPZ,"Domino's Pizza, Inc.",USD,NMS,Consumer Cyclical,Restaurants
338,DRE,N/A,N/A,N/A,N/A,N/A
339,DRI,"Darden Restaurants, Inc.",USD,NYQ,Consumer Cyclical,Restaurants
340,DTE,DTE Energy Company,USD,NYQ,Utilities,Utilities - Regulated Electric
341,DTV,N/A,N/A,N/A,N/A,N/A
342,DUK,Duke Energy Corporation,USD,NYQ,Utilities,Utilities - Regulated Electric
343,DVA,DaVita Inc.,USD,NYQ,Healthcare,Medical Care Facilities
344,DVN,Devon Energy Corporation,USD,NYQ,Energy,Oil & Gas E&P
345,DWD,N/A,N/A,NMS,N/A,N/A
346,DWDP,N/A,N/A,N/A,N/A,N/A
347,DXC,DXC Technology Company,USD,NYQ,Technology,Information Technology Services
348,DXCM,"DexCom, Inc.",USD,NMS,Healthcare,Medical Devices
349,DYN,"Dyne Therapeutics, Inc.",USD,NMS,Healthcare,Biotechnology
350,EA,Electronic Arts Inc.,USD,NMS,Communication Services,Electronic Gaming & Multimedia
351,EBAY,eBay Inc.,USD,NMS,Consumer Cyclical,Internet Retail
352,EC,Ecopetrol S.A.,USD,NYQ,Energy,Oil & Gas Integrated
353,ECH,iShares MSCI Chile ETF,USD,BTS,N/A,N/A
354,ECL,Ecolab Inc.,USD,NYQ,Basic Materials,Specialty Chemicals
355,ECO,Okeanis Eco Tankers Corp.,USD,NYQ,Industrials,Marine Shipping
356,ED,"Consolidated Edison, Inc.",USD,NYQ,Utilities,Utilities - Regulated Electric
357,EDS,N/A,N/A,YHD,N/A,N/A
358,EFU,ProShares UltraShort MSCI EAFE,USD,PCX,N/A,N/A
359,EFX,Equifax Inc.,USD,NYQ,Industrials,Consulting Services
360,EG,"Everest Group, Ltd.",USD,NYQ,Financial Services,Insurance - Reinsurance
361,EHC,Encompass Health Corporation,USD,NYQ,Healthcare,Medical Care Facilities
362,EIX,Edison International,USD,NYQ,Utilities,Utilities - Regulated Electric
363,EKDKQ,N/A,N/A,N/A,N/A,N/A
364,EL,The Estée Lauder Companies Inc.,USD,NYQ,Consumer Defensive,Household & Personal Products
365,ELV,"Elevance Health, Inc.",USD,NYQ,Healthcare,Healthcare Plans
366,EMC,Global X Emerging Markets Great Consumer ETF,USD,PCX,N/A,N/A
367,EMN,Eastman Chemical Company,USD,NYQ,Basic Materials,Specialty Chemicals
368,EMR,Emerson Electric Co.,USD,NYQ,Industrials,Specialty Industrial Machinery
