,Ticker,Name,Währung,Börse,Sektor,Branche
350,DOV,Dover Corporation,USD,NYQ,Industrials,Specialty Industrial Machinery
351,DOW,Dow Inc.,USD,NYQ,Basic Materials,Chemicals
352,DOW,Dow Inc.,USD,NYQ,Basic Materials,Chemicals
353,DPHIQ,N/A,N/A,N/A,N/A,N/A
354,DPZ,"Domino's Pizza, Inc.",USD,NMS,Consumer Cyclical,Restaurants
355,DRE,N/A,N/A,N/A,N/A,N/A
356,DRI,"Darden Restaurants, Inc.",USD,NYQ,Consumer Cyclical,Restaurants
357,DTE,DTE Energy Company,USD,NYQ,Utilities,Utilities - Regulated Electric
358,DTV,N/A,N/A,N/A,N/A,N/A
359,DUK,Duke Energy Corporation,USD,NYQ,Utilities,Utilities - Regulated Electric
360,DVA,DaVita Inc.,USD,NYQ,Healthcare,Medical Care Facilities
361,DVN,Devon Energy Corporation,USD,NYQ,Energy,Oil & Gas E&P
362,DWD,N/A,N/A,NMS,N/A,N/A
363,DWDP,N/A,N/A,N/A,N/A,N/A
364,DXC,DXC Technology Company,USD,NYQ,Technology,Information Technology Services
365,DXC,DXC Technology Company,USD,NYQ,Technology,Information Technology Services
366,DXCM,"DexCom, Inc.",USD,NMS,Healthcare,Medical Devices
367,DYN,"Dyne Therapeutics, Inc.",USD,NMS,Healthcare,Biotechnology
368,EA,Electronic Arts Inc.,USD,NMS,Communication Services,Electronic Gaming & Multimedia
369,EBAY,eBay Inc.,USD,NMS,Consumer Cyclical,Internet Retail
370,EC,Ecopetrol S.A.,USD,NYQ,Energy,Oil & Gas Integrated
371,ECH,iShares MSCI Chile ETF,USD,BTS,N/A,N/A
372,ECL,Ecolab Inc.,USD,NYQ,Basic Materials,Specialty Chemicals
373,ECO,Okeanis Eco Tankers Corp.,USD,NYQ,Industrials,Marine Shipping
374,ED,"Consolidated Edison, Inc.",USD,NYQ,Utilities,Utilities - Regulated Electric
375,EDS,N/A,N/A,YHD,N/A,N/A
376,EFU,ProShares UltraShort MSCI EAFE,USD,PCX,N/A,N/A
377,EFX,Equifax Inc.,USD,NYQ,Industrials,Consulting Services
378,EG,"Everest Group, Ltd.",USD,NYQ,Financial Services,Insurance - Reinsurance
379,EHC,Encompass Health Corporation,USD,NYQ,Healthcare,Medical Care Facilities
380,EIX,Edison International,USD,NYQ,Utilities,Utilities - Regulated Electric
381,EKDKQ,N/A,N/A,N/A,N/A,N/A
382,EL,The Estée Lauder Companies Inc.,USD,NYQ,Consumer Defensive,Household & Personal Products
383,ELV,"Elevance Health, Inc.",USD,NYQ,Healthcare,Healthcare Plans
384,EMC,Global X Emerging Markets Great Consumer ETF,USD,PCX,N/A,N/A
